"Year","LMEID","FwCatch","PwCatch","DwCatch"
1950,1,26.90831915,51183.423087999,24734.566419663
1950,2,154.401085867,399226.074435807,222720.4305891
1950,3,5208.604667296,624872.118666007,175247.747379331
1950,4,0,35463.376791799,87975.838451343
1950,5,155812.369798812,16487.394517114,340342.150541168
1950,6,216.298952474,73769.031032612,56152.5246143773
1950,7,2367.02658003,334851.514522789,623676.985176738
1950,8,7422.54125712,44629.8428205541,376701.017601096
1950,9,26197.51641588,109047.878005634,989700.758622802
1950,10,192.132329758,1118.6211459115,1332.7511983778
1950,11,1419.722380422,77918.403858944,73718.229093522
1950,12,1820.543940712,66744.0863767859,117527.722765324
1950,13,56635.4233347321,61928.6687382702,61296.7097780325
1950,14,8895.65996712401,1357.62697773895,32381.7797633375
1950,15,3475.791666527,7485.20254985,42165.1767157737
1950,16,11914.127697358,4740.536583969,51389.338253471
1950,17,7945.741513558,10309.7330823878,39080.354978892
1950,18,3825.79752786,27639.525547708,296209.935303518
1950,19,28.52155338,133.824339035,45703.801837937
1950,20,1031.21594557,126676.151057165,551633.793616327
1950,21,44.7973786,203737.78619087,271694.006279576
1950,22,27963.608194208,1139931.31863596,550969.28183686
1950,23,24540.16626527,138924.896481859,221729.316422754
1950,24,35650.715301718,117671.52651866,193504.230424131
1950,25,127081.25344953,112084.741589783,318388.304113509
1950,26,463512.31507216,208471.735188122,318407.629745106
1950,27,239790.628969801,93796.7045789435,94513.6205928823
1950,28,34692.313975135,218065.498950087,54420.1136946295
1950,29,4037.6052169,316581.73478613,150345.343806789
1950,30,16011.678956402,13141.5724392053,33430.3962420455
1950,31,3198.95920496,7927.4690416173,18141.76096487
1950,32,114030.827490166,122879.703725427,323911.337771639
1950,33,27492.485010371,14096.393397093,7020.980795117
1950,34,129100.728995976,206823.223646955,357770.431986493
1950,35,13146.9375773371,200978.954656309,40060.0553995282
1950,36,52391.220496101,318598.098163892,216798.95198524
1950,37,15558.692988291,63021.925166731,22415.634440861
1950,38,20093.27342318,43097.6793225035,17551.0062444995
1950,39,23.9909887,857.577780058497,2365.7857982093
1950,40,56.753487449,727.3547898695,2209.3339153655
1950,41,94.894174897,1319.7093313884,8518.299977819
1950,42,94.028848482,2000.164758211,6273.291132976
